ID,nper,anio,mes,GR,ronda,region,REGION_4,dpto,nom_dpto,barrio,ccz,ESTRED13,LOC_AGR_13,NOM_LOC_AGR_13,h2_cv,h4_1_cv,d23,d24,d25,e0_cv,e01_cv,e1_cv,e557,e26,e27,e29_1,e29_2,e29_3,e29_4,e29_5,e29_6,e49,e51_2,e197_1,e51_3,e51_4_a,e201_1a,e51_4_b,e201_1b,e51_5,e201_1c,e51_6,e201_1d,e209_1,e51_6a,e51_6b,e214_1,e51_8,e215_1,e217_1,e51_9,e218_1,e220_1,e51_10,e221_1,e223_1,e51_11,e224_1,e226_1,f269,f270,f271,f272,f273,f69,f69_1,f274,f275,f276,f277,f70,f304,f302,f303,f71_2,f72_2,f73,f82,f305,f306,f284_1,f284_2,f284_3,f284_4,f284_5,f284_6,f284_7,f85,f311,f309,f310,f90_2,f91_2,f92,f96,f296_1,f296_2,f296_3,f296_4,f296_5,f296_6,f296_7,f98,f99,f100,f101,f102,f103,f297,f298,f104,f299,f110,f111,f113,f114,f115,f300,f108,f301,f106,f116,f117,f124_1,f124_2,f124_3,f124_5,POBPCOAC,SUBEMPLEO,NIV_EDU,W,SIT_OCUP,INFORMAL,SECTOR_F
57612,1,2024,1,31,1,1,1,1,Montevideo,2,1,4,01010,Montevideo,0,0,1,0,1,0,0,0,1,2,70,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,10,0,3,1,2,1,1,2,1,10,0,3. Sec. completa o terciaria incomp,83,NA,0,NA
57613,1,2024,1,31,1,1,1,1,Montevideo,2,1,4,01010,Montevideo,0,0,1,0,1,0,0,0,1,1,91,2,2,1,2,2,0,1,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,10,0,3,1,2,1,2,2,1,10,0,1. CB incompleto o menos,101,NA,0,NA
57614,1,2024,1,31,1,1,1,1,Montevideo,2,1,4,01010,Montevideo,0,0,1,0,1,0,0,0,1,2,79,2,2,1,2,2,0,1,6,1,0,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,10,0,3,1,2,1,2,2,1,10,0,2. CB completo o EMS incomp,101,NA,0,NA
57615,1,2024,1,31,1,1,1,1,Montevideo,2,1,4,01010,Montevideo,0,0,2,0,2,0,0,0,1,2,40,2,2,1,2,2,0,3,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,6,2,55172,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2261,8610,2,1,0,0,4,4,4,4,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,3. Sec. completa o terciaria incomp,115,Empleado,0,Formal
57615,2,2024,1,31,1,1,1,1,Montevideo,2,1,4,01010,Montevideo,0,0,2,0,2,0,0,0,2,2,36,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,6,1,55138,0,0,0,2,1,66238,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1212,1061,1,1,4,0,8,8,8,8,8,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,4. Terciario completo o posgrado,115,Empleado,0,Formal
57616,1,2024,1,31,1,1,1,1,Montevideo,2,1,4,01010,Montevideo,0,0,2,0,2,0,0,0,1,2,51,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,3,1,33332,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2642,6020,2,1,0,0,8,8,8,8,8,4,0,44,0,0,0,2642,6010,1,1,2,2,1,0,0,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,3. Sec. completa o terciaria incomp,86,Empleado,0,Formal
57616,2,2024,1,31,1,1,1,1,Montevideo,2,1,4,01010,Montevideo,0,0,2,0,2,0,0,0,2,2,74,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,10,0,3,1,2,1,1,2,2,10,0,3. Sec. completa o terciaria incomp,86,NA,0,NA
57617,1,2024,1,31,1,1,1,1,Montevideo,2,1,4,01010,Montevideo,0,0,1,0,1,0,0,0,1,1,32,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,55148,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2512,7320,1,1,4,0,8,8,8,8,8,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,3. Sec. completa o terciaria incomp,168,Empleado,0,Formal
57618,1,2024,1,31,1,1,1,1,Montevideo,2,1,4,01010,Montevideo,0,0,1,0,1,0,0,0,1,2,55,2,2,1,2,2,0,1,6,1,0,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,2,0,0,0,4110,6910,1,1,1,1,0,0,0,0,0,0,0,40,0,0,0,7322,1313,9,2,0,0,0,0,0,0,0,10,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,2. CB completo o EMS incomp,59,Empleado,0,Formal
57619,1,2024,1,31,1,1,1,1,Montevideo,2,1,4,01010,Montevideo,0,0,1,0,1,0,0,0,3,2,85,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,8,1,55172,0,0,0,3,1,66272,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,10,0,3,1,2,1,2,2,1,10,0,4. Terciario completo o posgrado,101,NA,0,NA
